model,run_id,seed,hidden_size,num_layers,dropout,learning_rate,validation_enabled,test_rmse,test_score,best_metric,best_epoch,parameter_count,total_train_seconds,path,subset
gru,fd001_finalist_gru_h90_l2_d0p2_lr0p0005_seed123,123,90,2,0.2,0.0005,True,5.926512718200684,52.308067321777344,5.730022430419922,5,81901,58.49353098869324,/content/drive/MyDrive/ece228_stage2/outputs_finalists/gru/FD001/fd001_finalist_gru_h90_l2_d0p2_lr0p0005_seed123/summary.json,FD001
gru,fd001_finalist_gru_h90_l2_d0p2_lr0p0005_seed42,42,90,2,0.2,0.0005,True,6.209197521209717,55.26110076904297,5.291528701782227,6,81901,63.19237637519837,/content/drive/MyDrive/ece228_stage2/outputs_finalists/gru/FD001/fd001_finalist_gru_h90_l2_d0p2_lr0p0005_seed42/summary.json,FD001
gru,fd001_finalist_gru_h90_l2_d0p2_lr0p0005_seed7,7,90,2,0.2,0.0005,True,6.35816764831543,59.5936279296875,4.481072425842285,6,81901,62.80474376678467,/content/drive/MyDrive/ece228_stage2/outputs_finalists/gru/FD001/fd001_finalist_gru_h90_l2_d0p2_lr0p0005_seed7/summary.json,FD001
bigru,fd002_transfer_bigru_h60_l2_d0p1_lr0p0005_seed42,42,60,2,0.1,0.0005,True,13.128812789916992,1114.88330078125,16.292198181152344,2,99061,149.19007110595703,/content/drive/MyDrive/ece228_stage2/outputs_transfer/bigru/FD002/fd002_transfer_bigru_h60_l2_d0p1_lr0p0005_seed42/summary.json,FD002
gru,fd003_transfer_gru_h90_l2_d0p2_lr0p0005_seed42,42,90,2,0.2,0.0005,True,5.437185764312744,50.79048538208008,4.710154056549072,14,82441,89.91884708404541,/content/drive/MyDrive/ece228_stage2/outputs_transfer/gru/FD003/fd003_transfer_gru_h90_l2_d0p2_lr0p0005_seed42/summary.json,FD003
bigru,fd004_transfer_bigru_h60_l2_d0p1_lr0p0005_seed42,42,60,2,0.1,0.0005,True,17.280027389526367,1227.9364013671875,12.53464698791504,2,99061,261.7735152244568,/content/drive/MyDrive/ece228_stage2/outputs_transfer/bigru/FD004/fd004_transfer_bigru_h60_l2_d0p1_lr0p0005_seed42/summary.json,FD004
bigru,fd002_final_bigru_h60_l2_d0p1_lr0p0005_seed7,7,60,2,0.1,0.0005,True,14.891241073608398,2074.70263671875,16.434682846069336,3,99061,167.08164620399475,/content/drive/MyDrive/ece228_stage2/outputs_final_confirm/bigru/FD002/fd002_final_bigru_h60_l2_d0p1_lr0p0005_seed7/summary.json,FD002
bigru,fd002_final_bigru_h60_l2_d0p1_lr0p0005_seed123,123,60,2,0.1,0.0005,True,15.486024856567385,2448.9248046875,14.901545524597168,4,99061,178.87645053863525,/content/drive/MyDrive/ece228_stage2/outputs_final_confirm/bigru/FD002/fd002_final_bigru_h60_l2_d0p1_lr0p0005_seed123/summary.json,FD002
gru,fd003_final_gru_h90_l2_d0p2_lr0p0005_seed7,7,90,2,0.2,0.0005,True,5.296655654907227,44.4676513671875,3.439221143722534,27,82441,132.7016260623932,/content/drive/MyDrive/ece228_stage2/outputs_final_confirm/gru/FD003/fd003_final_gru_h90_l2_d0p2_lr0p0005_seed7/summary.json,FD003
gru,fd003_final_gru_h90_l2_d0p2_lr0p0005_seed123,123,90,2,0.2,0.0005,True,5.363277435302734,42.68560028076172,4.76259183883667,13,82441,87.85814166069031,/content/drive/MyDrive/ece228_stage2/outputs_final_confirm/gru/FD003/fd003_final_gru_h90_l2_d0p2_lr0p0005_seed123/summary.json,FD003
bigru,fd004_final_bigru_h60_l2_d0p1_lr0p0005_seed7,7,60,2,0.1,0.0005,True,15.542977333068848,1150.7315673828125,11.901735305786133,3,99061,288.7910490036011,/content/drive/MyDrive/ece228_stage2/outputs_final_confirm/bigru/FD004/fd004_final_bigru_h60_l2_d0p1_lr0p0005_seed7/summary.json,FD004
bigru,fd004_final_bigru_h60_l2_d0p1_lr0p0005_seed123,123,60,2,0.1,0.0005,True,17.494543075561523,1203.896484375,13.824661254882812,1,99061,241.6062591075897,/content/drive/MyDrive/ece228_stage2/outputs_final_confirm/bigru/FD004/fd004_final_bigru_h60_l2_d0p1_lr0p0005_seed123/summary.json,FD004
